NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Damien Wilson","IL","KC",1,20,56,36,51,60,23,53,34,38,"",35,17,46,"","","",46,1047,65,65.4,
"Damontre Moore","DE","SEA","",20,18,34,33,21,"",22,22,"","","","","","","","","",170,17,27.73,
"Derek Rivers","DE","NE","",20,10,16,4,"","",10,6,"",10,"","",5,6,10,"",8,29,2,2.83,
"Dre Kirkpatrick","CB","ARI","",20,52,42,31,65,72,66,"","",63,63,42,66,43,80,"",46,750,53,67.69,
"Genard Avery","DE","PHI",1,20,"",11,16,14,7,"","","","","","","","",12,24,22,68,6,11.91,
"Harrison Phillips","DT","BUF",3,20,37,29,41,"","","",41,"","","",21,18,13,21,20,44,332,27,31,
"Malcom Brown","DT","NO",1,20,34,37,28,33,"",25,33,28,24,23,21,4,"","","",27,960,64,64,
"Maurice Hurst","DT","OAK","",20,22,30,35,"","",31,6,"","","",16,21,38,31,27,"",277,25,25.44,
"T.J. Edwards","IL","PHI",2,20,29,51,18,"","","",62,"",53,34,49,21,"",20,63,57,180,15,31.52,
"B.J. Hill","DT","NYG",2,19,20,27,15,22,27,26,27,22,18,"",20,32,21,21,20,36,375,23,34.47,
"Bobby Okereke","ILB","IND",1,19,46,52,53,73,73,"",48,50,54,28,"","",50,48,36,44,685,48,66.38,
"Bravvion Roy","DT","CAR",2,19,17,18,"",15,17,19,37,21,44,16,32,"",44,47,29,38,419,27,39.57,
"Isaac Rochell","DE","LAC",3,19,19,11,22,56,"",15,26,9,16,7,21,23,37,52,63,41,437,27,42.18,
"Jamie Collins Sr.","LB","DET",1,19,56,54,63,"",59,70,73,55,88,48,45,67,60,54,"","",829,59,73.82,
"Justin Coleman","CB","DET",1,19,"","","","","","",39,17,80,25,40,52,58,50,52,28,471,42,41.94,
"Malcolm Smith","OLB","CLE",2,19,56,25,39,37,34,44,20,"",27,26,43,36,43,32,67,"",558,37,51.81,
"Reggie Ragland","LB","DET",2,19,31,19,44,"",37,37,53,28,77,22,32,24,18,24,38,51,562,35,50.04,
"Timmy Jernigan","DT","JAX",2,19,15,20,1,"",10,"","","","","","","","","","","",54,10,4.82,
"Brent Urban","DT","CHI",2,18,17,14,27,20,15,14,20,23,41,"",39,24,34,24,25,14,369,23,34.49,
"Isaiah Simmons","LB","ARI",1,18,7,10,10,13,21,5,"",32,"","","","","","","","",376,23,33.94,
"Jacob Martin","OLB","HOU",2,18,24,26,29,35,24,21,"","","",25,49,20,26,16,31,21,375,26,33.88,
"Kamu Grugier-Hill","OLB","MIA",2,18,18,20,23,37,18,"",17,10,2,6,"","",37,"",1,"",207,13,20.04,
"Austin Johnson","DT","NYG",1,17,19,21,13,10,6,10,7,12,17,"",7,13,23,20,20,16,231,14,21.23,
"Darryl Johnson","DE","BUF",3,17,11,"",6,"",14,7,13,6,"","","","","","","","",225,15,21.01,
"DeMarcus Walker","DE","DEN",2,17,4,"","","","",22,26,41,"",35,43,29,25,37,21,40,384,29,35.29,
"Dorance Armstrong","DE","DAL",2,17,20,19,20,19,20,26,15,26,"",27,"","","","",29,"",368,23,33.3,
"Isaiah Buggs","DT","PIT",2,17,16,4,"",6,8,"",34,28,"","",6,3,"","","",9,131,13,12.78,
"Kamalei Correa","LB","TEN","",17,12,10,"","",33,29,"",33,18,10,31,"","","","","",40,4,3.58,
"P.J. Hall","DT","HOU","",17,43,45,43,33,40,32,"",34,40,12,"","","","","","",343,34,30.98,
"Tyrel Dodson","OLB","BUF",2,17,74,"",19,"","","","","","","","","","","","",2,172,17,16.06,
"Allen Bailey","DE","ATL",1,16,30,33,23,16,29,32,30,34,"",26,27,33,23,23,20,19,425,26,39.32,
"Carlos Watkins","DE","HOU",1,16,17,34,24,16,32,31,"",42,53,27,42,42,26,32,52,46,542,33,48.96,
"Derrick Nnadi","DT","KC",1,16,51,27,43,37,26,26,21,38,"",26,20,35,28,26,29,"",1047,65,65.4,
"Isaiah Johnson","CB","OAK","",16,"","",2,5,"",2,"",50,8,7,60,"",3,1,16,"",181,12,16.62,
"Justin Zimmer","DT","BUF",2,16,"","","","",32,19,23,22,23,"",23,16,15,23,18,45,275,22,25.68,
"Ogbonnia Okoronkwo","OLB","LAR","",16,20,15,30,14,"","","","","","","",18,15,9,10,11,158,15,15.43,
"Tim Settle","NT","WAS",2,16,15,26,22,21,16,20,"",25,27,18,19,25,42,14,24,11,347,21,33.24,
"Tony McRae","CB","DET",2,16,"","","","","","","","","","","","","","","","",16,2,1.42,
"T.Y. McGill","DT","PHI",3,16,"","","","","",15,"","",16,10,16,"","","",23,27,31,4,5.43,
"Uchenna Nwosu","OLB","LAC",1,16,27,47,65,39,"",21,22,6,19,8,"",33,17,36,"","",356,27,34.36,
"Yetur Gross-Matos","DE","CAR",2,16,"",24,21,17,"","","",13,46,20,41,"",42,52,37,41,377,31,35.6,
"Bryan Mone","DT","SEA",2,15,26,25,19,30,"",23,22,15,"","","","","","",26,27,175,17,28.55,
"Damion Square","NT","LAC","",15,18,7,25,16,"",14,14,8,11,14,20,22,13,27,14,14,252,15,24.32,
"Daryl Worley","CB","DAL",3,15,25,73,75,51,21,1,"","","","","","","",37,"",31,69,8,6.34,
"Kenny Clark","NT","GB",1,15,"","","","",41,43,46,31,57,47,44,44,56,50,43,63,595,45,57.94,
"Krys Barnes","LB","GB",1,15,15,17,38,"",57,27,49,23,"","","","","","",68,"",421,32,40.99,
"Marquis Haynes","DE","CAR",2,15,15,36,11,36,29,28,36,26,22,20,32,"","",6,47,23,390,26,36.83,
"Shaun Dion Hamilton","LB","WAS","",15,6,15,16,"",1,1,"",7,4,1,3,5,11,24,"","",109,7,10.44,
"Taylor Rapp","SS","LAR",1,15,17,55,68,13,73,63,49,"",12,"","","","","","","",365,40,35.64,
"Devante Downs","ML","NYG",2,14,11,55,4,2,"",45,14,29,23,"",8,9,5,11,"",2,232,14,21.32,
"Efe Obada","DE","CAR",3,14,23,43,16,33,28,20,23,25,29,15,27,"",22,17,43,31,415,25,39.19,
"Greg Gaines","NT","LAR",2,14,6,10,20,11,26,12,12,"",10,8,13,13,14,9,8,15,201,12,19.63,
"Rashard Lawrence","DT","ARI",1,14,25,14,13,17,"","","","","","","","","","","","",166,18,14.98,
"Tershawn Wharton","DT","KC",2,14,25,11,41,19,16,47,31,50,"",16,43,26,47,29,33,63,1047,65,65.4,
"Andrew Wingard","FS","JAX",2,13,62,32,75,"","","","","",7,30,67,3,50,28,35,48,461,35,41.16,
"Jack Crawford","DE","TEN","",13,38,32,"","",33,27,10,48,32,7,44,38,36,34,37,9,474,29,42.44,
"Rashaan Evans","IL","TEN",1,13,63,51,"","",56,66,62,53,62,41,60,70,53,56,63,56,893,55,79.95,
"Taylor Stallworth","NT","IND",2,13,6,19,6,15,10,"",10,18,18,6,53,11,22,12,17,11,253,15,24.52,
"Deadrin Senat","DT","ATL","",12,13,"","","",4,"",4,"","","","","","",10,"","",43,8,3.98,
"Denzel Perryman","ILB","LAC",1,12,16,18,22,17,"",15,14,37,22,56,22,"","","",32,34,317,24,30.6,
"Jacob Phillips","LB","CLE","",12,"","",17,9,"","","","","",2,11,18,10,22,"",67,169,18,15.69,
"Ryan Anderson","OLB","WAS",3,12,19,26,29,17,6,13,"",15,8,"","","","","","","",145,16,13.89,
"Siran Neal","CB","BUF",2,12,7,"","","",9,"","",7,6,"","","",20,14,4,38,117,7,10.92,
"Steven Means","DE","ATL",1,12,51,45,26,30,31,43,41,51,"",36,35,50,44,43,39,52,644,40,59.57,
"Trevis Gipson","DE","CHI",2,12,"","",1,"","","","","","","","","","","","","",71,10,6.64,
"Tyquan Lewis","DL","IND",1,12,12,20,9,12,21,"",25,22,30,36,55,28,32,35,26,27,415,25,40.21,
"Vincent Taylor","DT","CLE",1,12,19,15,27,31,"",13,10,"",9,6,10,13,9,6,10,11,206,13,19.13,
"Amani Hooker","FS","TEN",1,11,22,14,"","",16,20,20,38,18,47,27,30,71,62,16,16,467,29,41.81,
"Donte Jackson","CB","CAR",1,11,61,38,41,1,33,68,25,60,19,"","","",52,62,71,57,599,42,56.56,
"Isaiah Mack","DT","TEN",3,11,"",9,"","",18,12,9,"","",6,10,"","","","","",85,10,7.61,
"Kyle Dugger","FS","NE",2,11,34,25,16,"",27,"","","",56,33,54,56,46,39,43,63,273,19,40.69,
"Leon Jacobs","OLB","JAX",1,11,16,6,"","","","","","","","","","","","","","",33,11,2.95,
"Ola Adeniyi","LB","PIT",2,11,9,6,"","",9,3,"",2,10,7,1,16,18,6,"",40,144,9,14.05,
"Porter Gustin","DE","CLE","",11,63,53,41,15,16,3,34,"",11,33,"","",7,5,5,16,326,23,30.27,
"T.J. Carrie","CB","IND",2,11,40,54,"",4,4,"",13,6,32,"",25,36,43,45,27,56,396,26,38.37,
"Alex Highsmith","LB","PIT",1,10,11,8,"",13,8,8,25,12,19,10,11,60,68,53,58,60,437,27,42.63,
"Alex Okafor","DE","KC",2,10,"","",21,33,15,"","","","",16,24,32,44,30,32,18,841,64,64.7,
"Alex Singleton","OLB","PHI",1,10,"",1,15,28,65,40,62,"",71,49,67,61,63,66,70,62,221,13,38.7,2
"Amani Bledsoe","DE","CIN","",10,24,25,14,14,29,28,26,"",31,15,21,"","",20,19,30,312,22,29.46,
"Chris Claybrooks","CB","JAX",1,10,7,"",54,58,1,42,"",8,6,41,"","","",40,40,52,374,28,33.39,
"Cre'Von LeBlanc","CB","PHI","",10,3,59,31,30,23,32,"","","",7,"","","","","","",188,20,32.92,
"David Long Jr.","LB","TEN",2,10,"","","","",3,"","","",5,"","","","","",86,"",65,65,65,
"Don Muhlbach","LS","DET","",10,9,10,7,"",10,9,9,7,10,"",6,9,7,6,9,6,0,0,0,
"Hercules Mata'afa","DT","MIN","",10,"",2,6,"","","",32,27,26,15,21,27,15,24,37,45,293,22,27.28,
"Khalid Kareem","DE","CIN","",10,14,7,12,18,25,18,43,"",26,4,13,17,7,8,11,22,259,16,24.46,
"Mykal Walker","LB","ATL",2,10,46,72,32,10,18,26,8,11,"",15,27,35,18,22,13,16,386,24,35.71,
"Ross Blacklock","DT","HOU",2,10,17,"",9,10,24,19,"",27,14,10,18,17,13,7,20,35,254,16,22.94,
"Tae Davis","ILB","CLE",3,10,1,"","","",7,"","","","","","",5,"","",2,"",25,1,2.32,
"Tre Flowers","CB","SEA",1,10,13,80,71,18,"",46,68,63,70,67,71,"","","","","",370,30,60.36,
"Anfernee Jennings","LB","NE","",9,2,"",14,"",28,53,"","",11,3,14,44,22,45,37,"",144,10,21.46,
"Chris Board","ILB","BAL",2,9,3,7,10,6,3,"",7,35,7,15,16,37,32,36,23,10,263,16,24.69,
"Chris Wormley","DT","PIT",1,9,10,7,"",4,11,10,"","","",4,25,6,7,3,8,41,148,11,14.44,
"Dean Marlowe","SS","BUF",3,9,15,9,14,"","",12,65,17,"","",2,1,"",15,13,42,230,15,21.48,
"Jeff Gladney","CB","MIN",1,9,60,73,65,54,79,"",75,74,50,48,62,47,49,64,74,58,958,59,89.2,
"John Penisini","DT","DET",2,9,18,19,22,"",21,35,47,39,37,33,44,42,35,48,56,58,576,36,51.29,
"Kendal Vickers","DT","OAK","",9,16,"",15,27,"",16,9,21,"",13,18,29,25,31,17,27,315,21,28.93,
"Kylie Fitts","OLB","ARI","",9,3,"",12,34,"",25,"",22,8,4,8,5,3,"","","",140,10,12.64,
"Patrick Robinson","CB","NO",1,9,1,"",58,68,"","","","",23,45,21,6,"","","","",731,60,60.9,
"Xavier Williams","DT","NE","",9,"","","","",34,29,19,"",34,15,35,27,27,23,18,42,9,0,1.34,
"Andrew Van Ginkel","IL","MIA",1,8,16,20,10,46,17,"",46,24,"",33,"","","","",73,"",479,29,46.37,2
"Anthony Averett","CB","BAL",3,8,23,28,62,11,5,"","","","","","",55,"",58,64,40,354,35,33.24,
"Brandon Copeland","LB","NE",2,8,30,11,"","","",11,"","","","","","","","","","",60,10,8.94,
"Khalen Saunders","NT","KC",2,8,"","","","","",15,"","","","","","","","","",51,710,64,64.5,
"Robert Spillane","LB","PIT",2,8,"","","","",30,43,71,67,45,36,44,21,"","","","",377,31,36.78,
"Shaun Bradley","LB","PHI",3,8,"","",2,4,32,1,"","",5,"","",3,10,"",11,"",47,3,8.23,
"Andrew Brown","DE","CIN","",7,11,"",12,"",13,"","","","","","","","","",2,10,12,1,1.08,
"Ben Banogu","DE","IND",3,7,12,24,12,10,9,"",18,"","","","","","",4,4,"",100,11,9.69,
"Brandon Wilson","FS","CIN",2,7,6,"","","",1,1,2,"",7,5,13,1,"",9,6,1,63,4,5.95,
"Deon Bush","FS","CHI",2,7,25,12,5,"","",1,1,"",2,"",3,3,6,"","","",65,5,6.07,
"Jordyn Brooks","LB","SEA",1,7,8,14,"","","",38,35,22,36,25,21,43,18,24,28,48,124,8,20.23,
"Julian Okwara","LB","DET",2,7,"",8,10,"",5,"","","","","","","","","",20,19,69,11,6.14,
"Kyzir White","ILB","LAC",2,7,77,50,76,74,"",51,37,44,47,"","","",43,32,"","",538,48,51.93,
"Andrew Adams","SS","TB","",6,"","","","","","","","","","","","","","",14,3,23,1,2.16,
"Corn Elder","CB","CAR",3,6,17,40,25,30,28,28,53,49,58,19,32,"",4,4,10,1,411,25,38.81,
"Jonathan Garvin","DE","GB",2,6,2,16,24,"",16,7,"",14,"","","","","","","","",85,10,8.28,
"Keisean Nixon","CB","OAK","",6,"","",5,5,"","","",1,"","",29,21,2,62,"",19,155,10,14.23,
"K'Von Wallace","SS","PHI",1,6,"",1,27,13,"","","","","",3,"","","","",25,"",47,3,8.23,
"Neville Gallimore","DT","DAL","",6,14,"","",22,23,38,17,36,"",28,35,36,37,41,31,42,416,29,37.65,
"Raekwon McMillan","LB","OAK","",6,5,19,1,"","","","",1,9,1,1,"",6,28,63,29,169,10,15.52,
"Sherrick McManis","DB","CHI",2,6,3,"","","",2,"",3,"","","","","","",2,9,"",25,2,2.34,
"Adrian Colbert","SS","NYG","",5,"","",43,50,"","","","","","","","","",6,"","",104,17,9.56,
"Dorian O'Daniel","LB","KC",2,5,4,"","","","","","","","","","","","","","","",704,64,64,
"Drue Tranquill","IL","LAC",1,5,"","","","","","","","","","","","","","","","",5,5,0.48,
"Isaac Yiadom","CB","NYG","",5,36,59,15,"","","",70,54,67,"",49,72,79,61,65,1,633,39,58.18,
"Justin Hollins","OLB","LAR",1,5,8,15,20,11,35,15,14,"",28,32,26,27,26,38,27,22,349,21,34.08,
"Patrick O'Connor","DE","TB",2,5,1,"","",1,2,7,4,8,"",2,1,"",22,"",4,5,62,3,5.83,
"Adarius Taylor","OLB","CAR",2,4,4,"",4,9,10,18,13,17,"","","","",3,"",12,17,111,8,10.48,
"Ahkello Witherspoon","CB","SF",2,4,65,"","",41,"",13,"","","","","",2,4,57,"",65,333,30,32.14,
"Leki Fotu","DT","ARI",1,4,"","",22,19,38,49,"",22,"","","",40,19,29,"",20,284,25,25.63,
"Zach Sieler","DT","MIA",2,4,16,31,26,44,49,"",65,39,52,54,20,26,25,29,30,22,532,33,51.5,
"Anthony Nelson","OLB","TB",2,3,11,27,8,14,15,22,24,22,11,6,28,"",36,14,15,66,322,20,30.29,
"Blake Cashman","IL","NYJ",2,3,"","","","","","","","","","","","","","","","",3,0,0.26,
"Blidi Wreh-Wilson","CB","ATL",3,3,"",68,39,2,"","",30,33,"",12,17,8,11,"",3,11,242,16,22.39,
"Deshazor Everett","FS","WAS",2,3,"",1,1,21,46,56,"",77,32,"","",70,48,"","","",355,32,34,
"Jeff Heath","SS","OAK","",3,8,19,3,22,"",72,1,11,34,36,73,50,"","","",60,415,31,38.11,
"Joshua Kalu","CB","TEN","",3,"","","","",1,"","","","",13,12,"",31,18,"","",90,6,8.06,
"Kaden Elliss","OLB","NO",1,3,"",2,"","","","","","","","","","","","","","",960,64,64,
"Marcus Epps","FS","PHI",2,3,16,8,44,54,"","",16,"","",1,3,11,35,68,40,63,141,10,24.69,
"Marquise Copeland","DT","LAR","",3,"","","","","","","","","","","","","","","","",3,3,0.29,
"Nick Dzubnar","LB","TEN",3,3,"","","","","",1,"","","",1,"",2,"",1,3,"",12,0,1.07,
"Oren Burks","ILB","GB",2,3,"",13,2,"",14,5,9,34,5,"",5,"",2,"",3,1,96,6,9.35,
"Tyler Matakevich","ILB","BUF",3,3,7,"","","","","",1,"","","","","","",15,6,40,72,4,6.72,
"Vernon Scott","FS","GB",2,3,5,"",11,"","",13,4,"",1,"","","",16,10,26,1,89,5,8.67,
"Charles Washington","FS","ARI",2,2,"","",32,"",3,"","","","","","","",4,"","","",40,2,3.61,
"Jalen Thompson","FS","ARI",1,2,"","","","","","","",57,73,37,"","","","","",63,232,46,20.94,
"Josh Jackson","CB","GB",2,2,5,"",28,"",65,68,45,56,60,"","","","","",3,"",331,27,32.23,
"Ronnie Harrison Jr.","SS","CLE",1,2,6,6,11,37,"",63,69,"",57,3,1,"","","","",67,325,29,30.18,
"Sam Franklin","LB","CAR",2,2,2,"",1,"",23,70,48,61,"","","","","","","","",248,17,23.42,
"Tarvarius Moore","FS","SF","",2,13,7,1,"","",52,"",4,59,"",62,73,63,57,"",65,540,33,52.12,
"Anthony Levine Sr.","SS","BAL","",1,10,"","","","","","",6,"","","",4,8,"","","",29,1,2.72,
"Cody Barton","ILB","SEA",2,1,5,5,24,59,"","",2,8,"","","","",10,"","","",104,6,16.97,
"Jachai Polite","OLB","LAR","",1,1,"",6,4,9,15,5,"",2,"","","","","","","",43,3,4.2,
"Jacob Tuioti-Mariner","DE","ATL",1,1,33,27,8,19,5,5,16,36,"",15,40,32,39,24,40,28,374,23,34.6,
"James Smith-Williams","DE","WAS",2,1,7,"",12,5,1,"","",11,1,11,10,3,14,4,7,7,98,7,9.39,
"Joe Jones","LB","DEN",3,1,"","","","","","","",1,"","","",1,"",2,30,1,6,0,0.55,
"Kyle Wilber","DE","OAK","",1,2,"",1,"","","","",1,"",5,1,"","",4,24,1,44,2,4.04,
"Trey Marshall","SS","DEN",3,1,"",2,"","","","","","",2,"","","","",2,8,"",15,1,1.38,
"Aaron Adeoye","DE","BAL","","","","","","","","","","","","",8,"","","","","",8,8,0.75,
"Aaron Crawford","DT","BAL","","","","","","","","","","","","","","","","","","",21,21,1.97,
"Aaron Lynch","LB","JAX",3,"","","","","","","","","",13,11,29,"",18,12,17,"",152,19,13.57,
"Andrew Billings","NT","CLE",1,"","","","","","","","","","","","","","","","","",90,45,45,
"Adoree' Jackson","CB","TEN",1,"","","","","","","","","","","","","","",27,65,62,154,51,13.79,
"A.J. Epenesa","DE","BUF",2,"",17,24,15,"",22,9,"",11,8,"",31,23,21,22,27,57,291,20,27.17,
"A.J. Green","CB","CLE",3,"","",1,"","","","","","","","","","","","","","",1,1,0.09,
"Akeem Spence","DT","NE",3,"","","","","","","","","","","","","",11,6,22,19,14,2,2.09,
"Albert Huggins","DT","DET","","","","","","","","","","","","","","","","","","",14,14,1.25,
"Alec Ogletree","LB","NYJ",2,"",34,"",39,"","","","","","","","","","","","","",73,36,6.41,
"Alexander Myres","CB","DET","","","","","","","","","","","","","","","",28,"","",28,28,2.49,
"Alex Barrett","DE","SF","","","","","",12,8,18,"","","","",12,"",4,"","",33,119,17,11.49,
"Alijah Holder","CB","DEN",3,"","","","","","","","","","",12,2,8,5,4,22,12,43,5,3.95,
"Alohi Gilman","SS","LAC",2,"","","","","","","","","","","","",1,2,"",22,46,71,4,6.85,
"Alton Robinson","DE","SEA",2,"","",30,27,35,"",7,49,36,27,12,10,12,31,24,18,18,184,13,30.02,
"Amik Robertson","CB","OAK",2,"","","",9,14,"","",2,6,"",1,"",2,"","","","",35,4,3.21,
"Andre Smith","LB","BUF",3,"","","","","","","",16,"","","",5,"","",3,2,21,47,3,4.39,
"Andrew Dowell","LB","NO","","","","","","","","","","","","","","","","","","",62,62,62,
"Anthony Chesley","CB","HOU","","","","","","","","","","","","","","","","","","",0,0,0,
"Anthony Chickillo","DE","DEN",3,"","",33,33,"",13,20,16,11,15,5,9,3,"","",6,"",164,14,15.07,
"Anthony Rush","DT","SEA",2,"",15,22,18,11,"","","","","","","","","",1,"","",66,13,10.77,
"Antoine Brooks Jr.","SS","PIT","","","","","","","","","","","","","","","","","","",29,7,2.83,
"Armani Watts","SS","KC",1,"","","","","","",8,3,14,"","",3,1,"","","",71,1047,65,65.4,
"Arthur Maulet","CB","NYJ",3,"","","","","","","","","","",70,60,26,22,59,79,60,404,36,35.5,
"A'Shawn Robinson","DT","LAR",1,"","","","","","","","","",10,15,22,12,15,12,10,15,111,13,10.84,
"Ashtyn Davis","SS","NYJ","","",13,"","",22,"",24,66,"","",81,71,44,"","","","",402,40,35.33,
"Asmar Bilal","LB","LAC",2,"","","","","","","","","","","","","","","","","",0,0,0,
"Austin Bryant","DE","DET",3,"","","","","","","","",27,44,"","","",30,39,34,38,212,35,18.88,
"Austin Calitro","LB","DEN","","","","","","","","","","","",12,"","","","",22,"",0,0,0,
"Austin Edwards","DE","ATL","","","","","","","",1,"","","","","","","","","","",1,1,0.09,
"Austin Larkin","DE","CAR","","","","","","",5,6,11,12,25,6,11,"",21,"","",24,127,14,11.99,
"Auzoyah Alufohai","DT","HOU","","","","","","","","","","","","","","","","","","",65,21,5.87,
"Avery Williamson","ILB","NYJ",2,"",17,56,31,70,53,72,56,"",11,4,25,38,67,51,55,55,309,20,30.15,
"Azeez Al-Shaair","ILB","SF",2,"",13,19,18,"",15,30,34,31,1,"","",1,36,21,"",65,305,19,29.44,
"Bashaud Breeland","CB","KC",1,"","","","",51,53,69,54,81,"",40,59,65,80,53,68,"",774,64,64.5,
"Ben Burr-Kirven","OLB","SEA","","","","","","","","","","","","","","",10,"","","",0,0,0,
"Benito Jones","DT","MIA","","","","","","",10,"",12,"","",6,"","","","",2,"",47,7,4.55,
"Bennett Jackson","CB","NYJ",3,"","","","","","","","","","",13,"","","","","","",0,0,0,
"Benning Potoa'e","DE","TB","","","","","","","","","","","","","","","","","","",17,17,1.6,
"Billy Winn","DE","GB",3,"","",6,11,"","",6,"","","",4,8,3,"","","","",41,6,3.99,
"B.J. Bello","LB","LAC","","","","","","","","","","","","","","","",12,"",1,13,2,1.25,
"Blake Countess","SS","PHI","","","","","","","","","","","","","","","","","",6,6,3,1,
"Blake Lynch","LB","MIN",2,"","","","","","","","","","","","","","","",94,"",77,19,7.17,
"Bobby Price","SS","DET",3,"","","","","","","","","","","","","","","","","",0,0,0,
"Bradlee Anae","DE","DAL",3,"",3,2,"",1,"","","","","","","","","","","","",6,3,0.54,
"Brandin Bryant","DT","BUF","","","","","","","","",7,"","","","","","","","","",7,7,0.65,
"Brandon Carr","CB","DAL",2,"",17,3,1,"","","","","","","","","","","","","",21,7,1.9,
"Brandon Facyson","CB","LAC","","","","","",25,"","",15,"","","",1,"","",2,"",6,49,3,4.73,
"Brandon Rusnak","CB","JAX","","","",30,2,1,29,81,"",6,"",6,21,"","","","","",181,11,16.16,
"Brandon Williams","CB","NYG","","","","","","","","","","","","","","","","","","",0,0,0,
"Braxton Hoyett","DT","KC",3,"",2,"","","","","","","","","","","","","","","",487,69,69.6,
"Breiden Fehoko","DT","LAC","","","","","","","","","","","","","","","","","","",19,19,1.83,
"Breon Borders","CB","TEN",2,"","","","","","","",7,77,70,47,74,67,"","","","",359,59,32.14,
"Brian Allen","CB","SF","","","","","",24,"","","","","","","","","","","","",24,24,2.32,
"Brooks Reed","LB","TEN","","","","","","","","","","","","","","","","",22,21,43,21,3.85,
"Bryan Cox Jr.","DE","BUF","","","","","","",23,"","","","","","","","","","","",23,23,2.15,
"Bryce Hager","LB","NYJ",1,"","","","","","","","","","",13,"","","","",73,64,137,13,12.04,
"Bryce Hall","CB","NYJ",1,"","","","","","","","","","",81,71,78,73,59,81,65,547,68,48.07,
"Calvin Munson","LB","MIA","","",8,"","","","","","","","",1,"",9,"","",6,22,46,2,4.45,
"Cam Brown","LB","NYG",2,"","","","","",5,12,4,2,2,"",10,10,9,"",24,12,92,6,8.46,
"Cam Lewis","CB","BUF","","","","","","",10,"","","","","","","","","","","",75,15,7,
"Cam Gill","LB","TB","","","","","","","",6,"",6,"","","","","","","","",22,1,2.07,
"Caraun Reid","DT","JAX",3,"","","","",8,21,18,"","","","","",43,19,26,"",8,143,20,12.77,
"Carl Davis","DT","NE",2,"","","","","","","","","","","","","","","","","",51,17,7.6,
"Carlos Davis","DT","PIT",3,"","","","","","","","",16,7,4,4,"","",2,10,7,54,7,5.27,
"Carter Coughlin","LB","NYG",3,"","","","","",3,"",4,4,3,"",19,45,64,28,11,11,192,13,17.65,
"Casey Toohill","LB","PHI",2,"",22,"","","","","","","","",3,4,4,7,3,"",6,29,3,2.78,
"Cassh Maluia","LB","NE","","","","","","","","","","","","","","","","",8,2,0,0,0,
"Cassius Marsh","DE","JAX",2,"",12,38,24,33,"","","","",7,5,"","","","",11,"",11,1,1.07,
"Caleb Brantley","DT","WAS","","","","","","","","","","","","","","","","","","",74,74,74,
"Chase Hansen","ILB","NO",2,"","","","","","","","","","","","","","","","",1,390,65,65,
"Chapelle Russell","LB","TB",3,"","","","","","","","","","","","","","","","",3,3,3,0.28,
"Charles Harris","DE","ATL",2,"","",32,27,42,40,13,17,40,"",15,23,12,"",10,10,3,289,22,26.73,
"Chauncey Rivers","DE","BAL",3,"","","","","","","","","","","","","","","","","",15,15,1.41,
"Chris Lammons","SS","KC",2,"","","","","","","","","","","","","","","","","",149,74,74.5,
"Chris Milton","CB","TEN",3,"","","","","","","","","","","","","","","","","",0,0,0,
"Chris Smith","DE","OAK","","","","","",14,"","",11,7,"",7,17,"",10,16,"",22,115,14,10.56,
"Chris Westry","CB","DAL","","","","","","","","","","","","","","",9,"","","",9,4,0.81,
"C.J. Goodwin","CB","DAL",3,"","","","","","","","","","",14,"","","","",16,"",17,1,1.54,
"C.J. Moore","FS","DET",2,"","","","","","","","","","",12,"","","","",4,"",4,0,0.36,
"Clayton Fejedelem","SS","MIA",3,"","","","","",1,"","","",5,15,1,"",7,"",39,"",14,1,1.36,
"Cody Davis","FS","NE",2,"","","","","","","","","","","","","","","","","",0,0,0,
"Cole Christiansen","LB","LAC","","","","","","","","","","","","","","","","","","",0,0,0,
"Cole Holcomb","ILB","WAS",1,"","","","","",31,39,"",69,59,31,49,52,79,"",68,66,554,50,53.07,
"Cole Luke","CB","WAS","","","","","","","","","","","","","","","","","","",0,0,0,
"Cordrea Tankersley","CB","MIN",2,"","","","","","","","","","","","","","","","",22,22,11,2.05,
"Corey Liuget","DE","HOU",2,"","","","","","","","",13,"","","",18,16,19,"","",88,14,7.95,
"Cortez Broughton","DT","LAC","","","","",11,17,"","","",6,13,"","","",8,12,14,13,94,10,9.07,
"Craig James","CB","PHI","","","","","",13,1,"","","","","","","","","","","",14,3,2.45,
"Craig Robertson","OLB","NO",2,"","","","","","",8,"",1,"",3,7,"","","","",2,960,64,64,
"Curtis Riley","CB","ARI","","","",12,61,"","","","",1,"","","","","","","","",1,0,0.09,
"Dakota Allen","OLB","JAX",2,"","","",32,58,6,5,"","","","","","","","","","",101,7,9.02,
"Dallin Leavitt","S","OAK",2,"","","","","","","","","","","",3,12,3,29,40,"",87,9,7.99,
"Damarious Randall","FS","SEA",3,"","","",2,1,"",15,4,3,"","","","",10,"","","",25,2,4.08,
"Damon Harrison","NT","SEA",2,"","","","","","","","","","",26,18,22,23,30,"","",12,1,1.17,
"Dane Cruikshank","CB","TEN",2,"","","","","","",1,"","","","","","","","","","",1,0,0.09,
"Dane Jackson","CB","BUF",2,"","","","","","","","","",58,"","","","","","",74,193,38,18.02,
