NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Cory Littleton","IL","OAK",1,67,60,69,60,52,"",72,49,78,"","",45,34,33,65,63,80,848,60,77.87,
"Eric Murray","FS","HOU",1,67,59,73,66,75,75,62,"",69,65,50,78,69,60,54,"","",941,67,85,
"Jarran Reed","DT","SEA",1,67,62,54,46,66,"",73,53,44,53,55,63,44,27,62,53,25,466,29,76.02,
"Johnathan Abram","FS","OAK",1,67,57,60,57,52,"","",47,79,69,55,75,"",58,"",63,75,856,65,78.6,
"Kevin Pierre-Louis","LB","WAS",1,67,75,49,48,52,34,38,"",37,14,26,17,23,15,"","","",505,38,48.37,
"Khalil Mack","LB","CHI",1,67,54,61,63,61,54,62,63,49,63,"",63,55,47,55,38,39,894,55,83.55,
"Steven Nelson","CB","PIT",1,67,77,47,"",59,57,56,74,67,60,39,48,"",74,56,69,43,907,60,88.49,
"D.J. Hayden","CB","JAX",1,66,28,27,56,"","","","","","",41,"","","","","","",234,46,20.89,
"Amani Oruwariye","CB","DET",1,65,73,65,60,"",64,70,75,36,54,36,56,69,67,68,77,80,1028,64,91.54,
"Duron Harmon","SS","DET",1,65,73,65,69,"",57,69,75,58,88,51,56,69,67,68,73,80,1103,68,98.22,
"Erik Harris","SS","OAK",1,65,55,59,60,30,"",72,49,67,39,17,4,62,61,66,"","",724,51,66.48,
"Jason Pierre-Paul","DE","TB",1,65,65,49,48,55,58,56,70,58,43,70,70,"",67,56,47,66,943,58,88.71,
"Blake Martinez","IL","NYG",1,64,65,77,57,66,67,80,70,54,67,"",49,60,74,64,68,80,1062,66,97.61,
"Cameron Dantzler","CB","MIN",2,64,"","",63,54,80,"",14,"","",31,49,71,51,61,52,"",601,54,55.96,
"Darious Williams","CB","LAR",1,64,66,53,58,52,44,53,47,"",60,62,36,58,34,50,39,48,824,51,80.47,2
"Darius Slay","CB","PHI",1,64,67,66,73,60,73,59,28,"",69,37,67,40,35,"",69,63,490,32,85.81,
"Jalen Mills","SS","PHI",1,64,69,71,73,73,62,59,79,"",69,47,67,61,63,68,70,"",550,36,96.32,
"James Bradberry","CB","NYG",1,64,65,77,57,64,73,81,70,54,67,"",49,72,79,"",65,81,1020,68,93.75,
"Jackrabbit Jenkins","CB","NO",1,64,76,61,"","","",46,70,49,71,45,22,"",69,97,61,57,1024,64,64,2
"Julian Love","CB","NYG",2,64,64,68,17,"",63,75,35,23,33,"",34,44,45,61,11,81,720,45,66.18,
"Michael Ojemudia","CB","DEN","",64,65,66,77,"",57,37,80,71,"",12,25,64,67,55,57,67,852,53,78.31,
"Jabrill Peppers","SS","NYG",1,63,65,9,"",23,72,79,66,54,67,"",49,72,79,64,68,80,910,60,83.64,
"Jarrod Wilson","FS","JAX","",63,"","","",58,51,"","",64,65,49,44,91,55,66,72,67,764,63,68.21,
"Jeremy Chinn","FS","CAR",1,63,60,78,51,64,63,66,66,"",72,41,73,"",61,62,71,61,967,64,91.31,4
"J.J. Watt","DE","HOU",1,63,44,72,59,71,65,56,"",68,62,44,74,68,58,54,70,68,1013,63,91.51,2
"Juston Burris","CB","CAR",1,63,61,78,56,65,43,"","","",50,41,71,"",61,60,71,55,790,60,74.6,
"Lorenzo Carter","LB","NYG",1,63,64,49,46,10,"","","","","","","","","","","","",234,46,21.51,
"Shaq Thompson","LB","CAR",1,63,61,66,55,65,66,70,67,62,75,40,73,"",59,62,71,61,1031,64,97.36,
"Trayvon Mullen Jr.","CB","OAK",1,63,53,55,60,47,"",72,49,27,65,57,62,62,61,62,52,46,932,58,85.58,
"Tre Boston","FS","CAR",1,63,60,78,57,65,66,70,70,62,70,39,73,"",59,62,71,57,1037,64,97.92,
"A.J. Terrell","CB","ATL",1,62,82,"","",64,55,61,54,73,"",47,51,76,73,66,67,59,910,65,84.18,
"Budda Baker","FS","ARI",1,62,65,65,"",69,81,81,"",57,73,66,52,80,45,83,"",71,1005,67,90.7,
