Player,Team,Cap Number,Cash Spent,Year,Pos
Badara Traore,Bears,"$170,282","$170,282",2020,RT
William Sweet,Cowboys,"$164,164","$164,164",2020,RT
David Steinmetz,Commanders,"$143,529","$143,529",2020,RT
Tommy Champion,Seahawks,"$142,800","$142,800",2020,RT
Elijah Nkansah,Texans,"$142,800","$142,800",2020,RT
Austen Pleasants,Jaguars,"$142,800","$142,800",2020,RT
Willie Beavers,Falcons,"$126,000","$126,000",2020,RT
Alex Taylor,Browns,"$111,482","$111,482",2020,RT
Paul Adams,Titans,"$84,000","$84,000",2020,RT
Garrett McGhin,Jaguars,"$67,200","$67,200",2020,RT
Jared Veldheer,Colts,"$44,118","$61,765",2020,RT
Rick Leonard,Commanders,"$42,000","$42,000",2020,RT
Timon Parris,Commanders,"$42,000","$42,000",2020,RT
Matt Kaskey,Panthers,"$35,882","$35,882",2020,RT
Blake Hance,Browns,"$35,882","$35,882",2020,RT
Wyatt Miller,Seahawks,"$25,200","$25,200",2020,RT
Jordan Mills,Cowboys,"$12,000","$12,000",2020,RT
Ja'Wuan James,Broncos,$0,"$150,000",2020,RT
Jared Veldheer,Packers,$0,$0,2020,RT
Drake Dorbeck,Browns,$0,"$76,500",2020,RT
Lucas Niang,Chiefs,$0,"$997,072",2020,RT
Brad Seaton,Buccaneers,$0,"$150,000",2020,RT
Marcus Gilbert,Cardinals,$0,"$150,000",2020,RT
Andre Smith,Ravens,$0,"$175,000",2020,RT
Isaiah Prince,Bengals,$0,"$150,000",2020,RT
Calais Campbell,Jaguars,"$17,500,000","$18,000,000",2018,Interior DL
Kawann Short,Panthers,"$17,000,000","$13,000,000",2018,Interior DL
Malik Jackson,Jaguars,"$15,500,000","$13,500,000",2018,Interior DL
Geno Atkins,Bengals,"$15,100,000","$25,500,000",2018,Interior DL
Jurrell Casey,Titans,"$14,920,000","$11,168,750",2018,Interior DL
Ndamukong Suh,Rams,"$14,500,000","$14,500,000",2018,Interior DL
J.J. Watt,Texans,"$14,190,000","$11,000,000",2018,Interior DL
Gerald McCoy,Buccaneers,"$12,750,000","$12,250,000",2018,Interior DL
Fletcher Cox,Eagles,"$11,348,000","$11,500,000",2018,Interior DL
Derek Wolfe,Broncos,"$10,768,750","$9,550,000",2018,Interior DL
Michael Brockers,Rams,"$10,750,000","$10,000,000",2018,Interior DL
Marcell Dareus,Jaguars,"$10,175,000","$10,175,000",2018,Interior DL
Mike Daniels,Packers,"$9,837,500","$7,312,500",2018,Interior DL
Akiem Hicks,Bears,"$9,600,000","$8,100,000",2018,Interior DL
Aaron Donald,Rams,"$8,892,000","$40,892,000",2018,Interior DL
Linval Joseph,Vikings,"$8,050,000","$6,250,000",2018,Interior DL
Sheldon Richardson,Vikings,"$8,000,000","$8,000,000",2018,Interior DL
Allen Bailey,Chiefs,"$7,968,750","$6,000,000",2018,Interior DL
Cameron Heyward,Steelers,"$7,066,250","$9,000,000",2018,Interior DL
Denico Autry,Colts,"$7,000,000","$6,875,000",2018,Interior DL
Star Lotulelei,Bills,"$6,700,000","$17,100,000",2018,Interior DL
William Gholston,Buccaneers,"$6,500,000","$6,500,000",2018,Interior DL
Leonard Williams,Jets,"$5,928,004","$2,975,574",2018,Interior DL
Brandon Williams,Ravens,"$5,920,000","$8,500,000",2018,Interior DL
Brandon Mebane,Chargers,"$5,500,000","$4,500,000",2018,Interior DL
Kyle Williams,Bills,"$5,500,000","$5,500,000",2018,Interior DL
Stephon Tuitt,Steelers,"$5,432,000","$11,000,000",2018,Interior DL
DaQuan Jones,Titans,"$5,333,333","$8,000,000",2018,Interior DL
Dontari Poe,Panthers,"$5,333,333","$12,000,000",2018,Interior DL
Timmy Jernigan,Eagles,"$5,000,000","$3,000,000",2018,Interior DL
Beau Allen,Buccaneers,"$5,000,000","$5,000,000",2018,Interior DL
DeForest Buckner,49ers,"$4,961,179","$2,103,726",2018,Interior DL
Muhammad Wilkerson,Packers,"$4,887,500","$4,887,500",2018,Interior DL
Stacy McGee,Commanders,"$4,800,000","$3,875,000",2018,Interior DL
Corey Liuget,Chargers,"$4,800,000","$3,300,000",2018,Interior DL
Damon Harrison,Lions,"$4,558,824","$4,558,824",2018,Interior DL
Steve McLendon,Jets,"$4,250,000","$3,375,000",2018,Interior DL
Justin Ellis,Raiders,"$4,250,000","$4,250,000",2018,Interior DL
Domata Peko,Broncos,"$4,200,000","$3,700,000",2018,Interior DL
Bennie Logan,Titans,"$4,000,000","$4,000,000",2018,Interior DL
Earl Mitchell,49ers,"$3,850,000","$3,000,000",2018,Interior DL
Eddie Goldman,Bears,"$3,798,875","$12,000,000",2018,Interior DL
Lawrence Guy,Patriots,"$3,666,666","$2,600,000",2018,Interior DL
Tyson Alualu,Steelers,"$3,625,000","$3,000,000",2018,Interior DL
Abry Jones,Jaguars,"$3,500,000","$3,500,000",2018,Interior DL
Sheldon Rankins,Saints,"$3,491,358","$1,613,786",2018,Interior DL
Jack Crawford,Falcons,"$3,255,208","$2,525,000",2018,Interior DL
Mitch Unrein,Buccaneers,"$3,000,000","$3,000,000",2018,Interior DL
Johnathan Hankins,Raiders,"$3,000,000","$2,000,000",2018,Interior DL
Akeem Spence,Dolphins,"$2,925,000","$2,925,000",2018,Interior DL
Mike Pennel,Jets,"$2,833,333","$3,500,000",2018,Interior DL
Haloti Ngata,Eagles,"$2,725,000","$2,600,000",2018,Interior DL
Vita Vea,Buccaneers,"$2,695,316","$9,341,264",2018,Interior DL
Corey Peters,Cardinals,"$2,640,625","$2,203,125",2018,Interior DL
Jonathan Allen,Commanders,"$2,635,591","$992,118",2018,Interior DL
Daron Payne,Commanders,"$2,621,520","$9,046,080",2018,Interior DL
Damion Square,Chargers,"$2,612,500","$2,000,000",2018,Interior DL
Kenny Clark,Packers,"$2,553,175","$1,301,058",2018,Interior DL
Al Woods,Colts,"$2,500,000","$2,200,000",2018,Interior DL
Malcom Brown,Patriots,"$2,422,392","$1,473,168",2018,Interior DL
Robert Nkemdiche,Cardinals,"$2,345,616","$1,231,872",2018,Interior DL
Vernon Butler,Panthers,"$2,289,959","$1,213,320",2018,Interior DL
David Irving,Cowboys,"$2,228,353","$2,228,353",2018,Interior DL
Ethan Westbrooks,Rams,"$2,225,000","$1,750,000",2018,Interior DL
Shamar Stephen,Seahawks,"$2,081,250","$2,100,000",2018,Interior DL
Danny Shelton,Patriots,"$2,030,955","$2,030,955",2018,Interior DL
Grady Jarrett,Falcons,"$1,968,963","$1,907,000",2018,Interior DL
Tyeler Davison,Saints,"$1,961,306","$1,907,000",2018,Interior DL
Clinton McDonald,Raiders,"$1,950,000","$1,750,000",2018,Interior DL
Henry Anderson,Jets,"$1,907,000","$1,907,000",2018,Interior DL
Taven Bryan,Jaguars,"$1,846,355","$5,945,420",2018,Interior DL
Chris Jones,Chiefs,"$1,699,429","$1,016,476",2018,Interior DL
Zach Kerr,Broncos,"$1,671,875","$1,500,000",2018,Interior DL
Xavier Williams,Chiefs,"$1,625,000","$2,500,000",2018,Interior DL
Austin Johnson,Titans,"$1,544,244","$964,748",2018,Interior DL
A'Shawn Robinson,Lions,"$1,427,356","$925,786",2018,Interior DL
Jarran Reed,Seahawks,"$1,333,537","$894,512",2018,Interior DL
Kyle Love,Panthers,"$1,300,000","$1,100,000",2018,Interior DL
Mario Edwards Jr.,Giants,"$1,255,524","$1,255,524",2018,Interior DL
Kerry Wynn,Giants,"$1,250,000","$1,250,000",2018,Interior DL
Angelo Blackson,Texans,"$1,240,000","$1,240,000",2018,Interior DL
DeMarcus Walker,Broncos,"$1,153,148","$695,630",2018,Interior DL
Breeland Speaks,Chiefs,"$1,109,185","$2,996,740",2018,Interior DL
Brent Urban,Ravens,"$1,100,000","$1,100,000",2018,Interior DL
Adam Gotsis,Broncos,"$1,073,974","$807,992",2018,Interior DL
Dalvin Tomlinson,Giants,"$1,039,114","$672,823",2018,Interior DL
Maliek Collins,Cowboys,"$975,288","$755,000",2018,Interior DL
Jonathan Bullard,Bears,"$924,630","$718,000",2018,Interior DL
Larry Ogunjobi,Browns,"$887,989","$642,598",2018,Interior DL
Tom Johnson,Vikings,"$882,353","$1,082,353",2018,Interior DL
Javon Hargrave,Steelers,"$864,314","$691,000",2018,Interior DL
P.J. Hall,Raiders,"$855,324","$1,981,296",2018,Interior DL
Chris Wormley,Ravens,"$850,661","$626,000",2018,Interior DL
Rodney Gunter,Cardinals,"$832,479","$705,000",2018,Interior DL
Malik McDowell,Seahawks,"$799,619",$0,2018,Interior DL
Brandon Dunn,Texans,"$790,000","$790,000",2018,Interior DL
Datone Jones,Cowboys,"$790,000","$790,000",2018,Interior DL
Jordan Phillips,Bills,"$787,603","$787,603",2018,Interior DL
Montravius Adams,Packers,"$782,194","$596,000",2018,Interior DL
Eddie Vanderdoes,Raiders,"$779,303","$589,000",2018,Interior DL
Hassan Ridgeway,Colts,"$770,056","$630,000",2018,Interior DL
David Onyemata,Saints,"$765,586","$630,000",2018,Interior DL
Andrew Billings,Bengals,"$763,961","$630,000",2018,Interior DL
Nazair Jones,Seahawks,"$754,572","$578,000",2018,Interior DL
B.J. Hill,Giants,"$737,379","$1,509,516",2018,Interior DL
Darius Philon,Chargers,"$735,147","$705,000",2018,Interior DL
Leterrius Walton,Steelers,"$734,232","$705,000",2018,Interior DL
Christian Covington,Texans,"$727,621","$705,000",2018,Interior DL
Nathan Shepherd,Jets,"$726,930","$1,467,720",2018,Interior DL
Willie Henry,Ravens,"$725,848","$630,000",2018,Interior DL
Dean Lowry,Packers,"$725,848","$630,000",2018,Interior DL
Jaleel Johnson,Vikings,"$724,590","$555,000",2018,Interior DL
Daniel McCullers,Steelers,"$720,000","$880,000",2018,Interior DL
Derrick Nnadi,Chiefs,"$719,850","$1,439,400",2018,Interior DL
Shelby Harris,Broncos,"$705,000","$705,000",2018,Interior DL
Nicholas Williams,Bears,"$705,000","$705,000",2018,Interior DL
Justin Jones,Chargers,"$693,535","$1,334,140",2018,Interior DL
Deadrin Senat,Falcons,"$684,490","$1,297,960",2018,Interior DL
D.J. Reader,Texans,"$683,845","$630,000",2018,Interior DL
Harrison Phillips,Bills,"$673,760","$1,255,040",2018,Interior DL
Jalyn Holmes,Vikings,"$662,849","$1,211,396",2018,Interior DL
Ryan Glasgow,Bengals,"$659,912","$555,000",2018,Interior DL
Carlos Watkins,Texans,"$659,912","$555,000",2018,Interior DL
Grover Stewart,Colts,"$659,912","$555,000",2018,Interior DL
Dominique Easley,Rams,"$642,000","$892,000",2018,Interior DL
Joel Heath,Texans,"$633,668","$630,000",2018,Interior DL
Michael Pierce,Ravens,"$633,334","$630,000",2018,Interior DL
Olsen Pierre,Cardinals,"$630,000","$630,000",2018,Interior DL
Sheldon Day,49ers,"$630,000","$630,000",2018,Interior DL
Matt Ioannidis,Commanders,"$630,000","$630,000",2018,Interior DL
John Jenkins,Giants,"$630,000","$790,000",2018,Interior DL
Davon Godchaux,Dolphins,"$605,487","$555,000",2018,Interior DL
Tanzel Smart,Rams,"$596,198","$555,000",2018,Interior DL
John Franklin-Myers,Rams,"$593,089","$932,356",2018,Interior DL
D.J. Jones,49ers,"$591,967","$555,000",2018,Interior DL
Josh Mauro,Giants,"$571,765","$694,118",2018,Interior DL
Maurice Hurst,Raiders,"$559,761","$799,044",2018,Interior DL
Roy Robertson-Harris,Bears,"$557,334","$555,000",2018,Interior DL
Adam Butler,Patriots,"$556,666","$555,000",2018,Interior DL
Justin Hamilton,Chiefs,"$555,000","$555,000",2018,Interior DL
Trevon Coley,Browns,"$555,000","$555,000",2018,Interior DL
Caleb Brantley,Commanders,"$555,000","$555,000",2018,Interior DL
Eli Ankou,Jaguars,"$555,000","$555,000",2018,Interior DL
Daniel Ross,Cowboys,"$555,000","$555,000",2018,Interior DL
Bilal Nichols,Bears,"$554,870","$779,480",2018,Interior DL
Tim Settle,Commanders,"$547,011","$748,044",2018,Interior DL
Rakeem Nunez-Roches,Buccaneers,"$539,118","$539,118",2018,Interior DL
Duke Ejiofor,Texans,"$526,313","$665,252",2018,Interior DL
Folorunso Fatukasi,Jets,"$523,564","$654,256",2018,Interior DL
Caraun Reid,Cowboys,"$518,824","$650,588",2018,Interior DL
Darius Kilgo,Titans,"$518,823","$518,823",2018,Interior DL
Brian Price,Browns,"$518,812","$518,812",2018,Interior DL
Sebastian Joseph-Day,Rams,"$518,809","$635,236",2018,Interior DL
Zach Sieler,Ravens,"$500,170","$560,680",2018,Interior DL
Josh Tupou,Bengals,"$500,029","$492,529",2018,Interior DL
Vincent Taylor,Dolphins,"$499,901","$461,294",2018,Interior DL
R.J. McIntosh,Giants,"$498,426","$739,527",2018,Interior DL
Ziggy Hood,Dolphins,"$484,412","$484,412",2018,Interior DL
Taylor Stallworth,Saints,"$483,333","$490,000",2018,Interior DL
Matt Dickerson,Titans,"$483,000","$489,000",2018,Interior DL
Poona Ford,Seahawks,"$482,666","$488,000",2018,Interior DL
Brian Price,Browns,"$481,765","$481,765",2018,Interior DL
Antwaun Woods,Cowboys,"$480,000","$480,000",2018,Interior DL
Jihad Ward,Colts,"$453,529","$453,529",2018,Interior DL
Adolphus Washington,Bengals,"$435,176","$435,176",2018,Interior DL
Treyvon Hester,Eagles,"$424,412","$424,412",2018,Interior DL
Sylvester Williams,Dolphins,"$418,235","$418,235",2018,Interior DL
Jay Bromley,Saints,"$407,647","$511,176",2018,Interior DL
Ahtyba Rubin,Raiders,"$393,000","$508,000",2018,Interior DL
Morgan Fox,Rams,"$393,000","$393,000",2018,Interior DL
Stevie Tu'ikolovatu,Buccaneers,"$385,786","$363,000",2018,Interior DL
Kristjan Sokoli,Giants,"$378,000","$378,000",2018,Interior DL
Tyler Lancaster,Packers,"$367,059","$367,059",2018,Interior DL
Michael Hughes,Jaguars,"$364,666","$368,000",2018,Interior DL
T.Y. McGill,Chargers,"$248,824","$248,824",2018,Interior DL
Christian Ringo,Bengals,"$222,353","$222,353",2018,Interior DL
Niles Scott,Bengals,"$169,412","$169,412",2018,Interior DL
James Looney,Packers,"$169,412","$169,412",2018,Interior DL
Bronson Kaufusi,Jets,"$130,588","$130,588",2018,Interior DL
Ifeadi Odenigbo,Vikings,"$130,306","$130,306",2018,Interior DL
Lavon Hooks,Steelers,"$129,200","$129,200",2018,Interior DL
JoJo Wicker,Commanders,"$129,200","$129,200",2018,Interior DL
Abdullah Anderson,Bears,"$129,200","$129,200",2018,Interior DL
Andrew Brown,Bengals,"$129,200","$129,200",2018,Interior DL
Joey Ivie,Chiefs,"$129,200","$129,200",2018,Interior DL
Kyle Peko,Bills,"$121,600","$121,600",2018,Interior DL
Devaroe Lawrence,Browns,"$120,000","$120,000",2018,Interior DL
Justin Zimmer,Falcons,"$112,941","$112,941",2018,Interior DL
Bruce Hector,Eagles,"$112,941","$112,941",2018,Interior DL
Tomasi Laulile,Saints,"$106,400","$106,400",2018,Interior DL
Garrison Smith,Dolphins,"$98,800","$98,800",2018,Interior DL
Daniel Ekuale,Browns,"$98,800","$98,800",2018,Interior DL
Vincent Valentine,Cardinals,"$97,941","$97,941",2018,Interior DL
Robert Thomas,Bills,"$91,200","$91,200",2018,Interior DL
Frank Herron,Patriots,"$91,200","$91,200",2018,Interior DL
Myles Humphrey,Giants,"$83,600","$83,600",2018,Interior DL
Curtis Cothran,Vikings,"$76,000","$76,000",2018,Interior DL
Gabe Wright,Raiders,"$74,118","$74,118",2018,Interior DL
Ufomba Kamalu,Patriots,"$74,118","$74,118",2018,Interior DL
Jamiyus Pittman,Dolphins,"$68,400","$68,400",2018,Interior DL
Jeremiah Ledbetter,Buccaneers,"$65,294","$65,294",2018,Interior DL
John Atkins,Lions,"$56,471","$56,471",2018,Interior DL
Kendrick Norton,Dolphins,"$56,471","$56,471",2018,Interior DL
Deon Simon,Packers,"$53,200","$53,200",2018,Interior DL
Aziz Shittu,Cowboys,"$53,200","$53,200",2018,Interior DL
Caushaud Lyons,Broncos,"$38,000","$38,000",2018,Interior DL
Destiny Vaeao,Jets,"$37,059","$37,059",2018,Interior DL
Mason Gentry,Browns,"$30,400","$30,400",2018,Interior DL
Pasoni Tasini,Cardinals,"$28,235","$28,235",2018,Interior DL
DeShawn Williams,Colts,"$22,800","$22,800",2018,Interior DL
Joshua Frazier,Lions,"$22,800","$22,800",2018,Interior DL
Jarron Jones,Lions,"$22,800","$22,800",2018,Interior DL
Woodrow Hamilton,Giants,"$22,800","$22,800",2018,Interior DL
Elijah Qualls,Panthers,"$15,200","$15,200",2018,Interior DL
Eric Cotton,Packers,"$15,200","$15,200",2018,Interior DL
Chris Landrum,Texans,"$7,600","$7,600",2018,Interior DL
Darius Kilgo,Titans,$0,$0,2018,Interior DL
Kyle Peko,Colts,$0,$0,2018,Interior DL
Tyrunn Walker,Saints,$0,$0,2018,Interior DL
Aaron Donald,Rams,"$17,108,000","$9,108,000",2019,Interior DL
Cameron Heyward,Steelers,"$14,901,250","$8,750,000",2019,Interior DL
J.J. Watt,Texans,"$14,628,750","$13,000,000",2019,Interior DL
Geno Atkins,Bengals,"$14,600,000","$12,000,000",2019,Interior DL
Calais Campbell,Jaguars,"$14,500,000","$12,000,000",2019,Interior DL
Brandon Williams,Ravens,"$14,170,000","$9,250,000",2019,Interior DL
Jurrell Casey,Titans,"$12,718,750","$11,025,000",2019,Interior DL
Fletcher Cox,Eagles,"$11,902,000","$15,600,000",2019,Interior DL
Star Lotulelei,Bills,"$11,500,000","$8,900,000",2019,Interior DL
Grady Jarrett,Falcons,"$11,000,000","$24,500,000",2019,Interior DL
Derek Wolfe,Broncos,"$10,925,000","$8,425,000",2019,Interior DL
Michael Brockers,Rams,"$10,750,000","$10,250,000",2019,Interior DL
Linval Joseph,Vikings,"$10,668,750","$9,437,500",2019,Interior DL
Tyrone Crawford,Cowboys,"$10,100,000","$7,000,000",2019,Interior DL
Akiem Hicks,Bears,"$10,100,000","$8,600,000",2019,Interior DL
Stephon Tuitt,Steelers,"$9,745,750","$9,000,000",2019,Interior DL
Sheldon Richardson,Browns,"$9,666,666","$13,000,000",2019,Interior DL
Dontari Poe,Panthers,"$9,333,333","$5,812,500",2019,Interior DL
Ndamukong Suh,Buccaneers,"$9,250,000","$9,250,000",2019,Interior DL
Mike Daniels,Lions,"$7,987,500","$7,968,750",2019,Interior DL
Gerald McCoy,Panthers,"$7,937,500","$8,000,000",2019,Interior DL
Henry Anderson,Jets,"$7,833,333","$10,000,000",2019,Interior DL
Kawann Short,Panthers,"$7,644,000","$13,000,000",2019,Interior DL
DaQuan Jones,Titans,"$7,333,333","$6,000,000",2019,Interior DL
Quinnen Williams,Jets,"$5,914,431","$22,172,724",2019,Interior DL
DeForest Buckner,49ers,"$5,788,042","$2,930,589",2019,Interior DL
Marcell Dareus,Jaguars,"$5,585,000","$8,085,000",2019,Interior DL
Eddie Goldman,Bears,"$5,300,000","$5,350,000",2019,Interior DL
Denico Autry,Colts,"$4,937,500","$4,937,500",2019,Interior DL
Corey Peters,Cardinals,"$4,656,250","$4,000,000",2019,Interior DL
Jordan Phillips,Bills,"$4,500,000","$4,500,000",2019,Interior DL
Lawrence Guy,Patriots,"$4,466,666","$3,900,000",2019,Interior DL
Johnathan Hankins,Raiders,"$4,125,000","$5,000,000",2019,Interior DL
Sheldon Rankins,Saints,"$4,073,251","$2,195,679",2019,Interior DL
Damon Harrison,Lions,"$4,000,000","$9,000,000",2019,Interior DL
Angelo Blackson,Texans,"$4,000,000","$3,968,750",2019,Interior DL
Abry Jones,Jaguars,"$4,000,000","$4,000,000",2019,Interior DL
Beau Allen,Buccaneers,"$4,000,000","$4,000,000",2019,Interior DL
William Gholston,Buccaneers,"$3,750,000","$3,750,000",2019,Interior DL
Xavier Williams,Chiefs,"$3,682,000","$2,807,000",2019,Interior DL
Jack Crawford,Falcons,"$3,658,334","$2,825,000",2019,Interior DL
Dean Lowry,Packers,"$3,645,848","$8,050,000",2019,Interior DL
Ed Oliver,Bills,"$3,577,301","$12,824,204",2019,Interior DL
Vita Vea,Buccaneers,"$3,369,145","$1,153,829",2019,Interior DL
Daron Payne,Commanders,"$3,276,900","$1,135,380",2019,Interior DL
Jonathan Allen,Commanders,"$3,162,709","$1,519,236",2019,Interior DL
Michael Pierce,Ravens,"$3,095,000","$3,095,000",2019,Interior DL
Shelby Harris,Broncos,"$3,095,000","$3,095,000",2019,Interior DL
Brandon Mebane,Chargers,"$3,050,000","$5,050,000",2019,Interior DL
Kenny Clark,Packers,"$2,978,704","$1,726,587",2019,Interior DL
Christian Wilkins,Dolphins,"$2,807,109","$9,743,436",2019,Interior DL
Malik Jackson,Eagles,"$2,800,000","$10,000,000",2019,Interior DL
Vernon Butler,Panthers,"$2,671,619","$1,594,980",2019,Interior DL
Matt Ioannidis,Commanders,"$2,525,000","$7,025,000",2019,Interior DL
Malcom Brown,Saints,"$2,500,000","$5,500,000",2019,Interior DL
Steve McLendon,Jets,"$2,423,823","$2,750,000",2019,Interior DL
Dexter Lawrence,Giants,"$2,408,734","$8,149,936",2019,Interior DL
Shamar Stephen,Vikings,"$2,333,333","$5,000,000",2019,Interior DL
Taven Bryan,Jaguars,"$2,307,944","$941,589",2019,Interior DL
Jeffery Simmons,Titans,"$2,302,501","$7,725,004",2019,Interior DL
Maliek Collins,Cowboys,"$2,245,288","$2,025,000",2019,Interior DL
Javon Hargrave,Steelers,"$2,198,314","$2,025,000",2019,Interior DL
Tyson Alualu,Steelers,"$2,125,000","$3,000,000",2019,Interior DL
D.J. Reader,Texans,"$2,078,845","$2,025,000",2019,Interior DL
Jerry Tillery,Chargers,"$2,076,756","$6,822,024",2019,Interior DL
Al Woods,Seahawks,"$2,065,441","$2,065,441",2019,Interior DL
David Onyemata,Saints,"$2,041,468","$1,905,882",2019,Interior DL
Brandon Dunn,Texans,"$2,025,000","$2,025,000",2019,Interior DL
Leonard Williams,Giants,"$2,019,500","$2,019,500",2019,Interior DL
Damion Square,Chargers,"$2,000,000","$2,000,000",2019,Interior DL
Chris Jones,Chiefs,"$1,982,667","$1,299,714",2019,Interior DL
Austin Johnson,Titans,"$1,801,618","$1,222,122",2019,Interior DL
Rodney Gunter,Cardinals,"$1,750,000","$1,721,875",2019,Interior DL
Christian Covington,Cowboys,"$1,687,500","$1,750,000",2019,Interior DL
A'Shawn Robinson,Lions,"$1,665,249","$1,163,679",2019,Interior DL
Timmy Jernigan,Eagles,"$1,625,000","$1,812,500",2019,Interior DL
Mario Edwards Jr.,Saints,"$1,460,000","$1,935,000",2019,Interior DL
DeMarcus Walker,Broncos,"$1,383,778","$926,260",2019,Interior DL
Kyle Love,Panthers,"$1,350,000","$1,350,000",2019,Interior DL
Adam Gotsis,Broncos,"$1,252,970","$986,988",2019,Interior DL
Dalvin Tomlinson,Giants,"$1,246,937","$880,646",2019,Interior DL
Clinton McDonald,Cardinals,"$1,237,500","$1,162,500",2019,Interior DL
Taco Charlton,Dolphins,"$1,214,730","$1,214,730",2019,Interior DL
Jarran Reed,Seahawks,"$1,161,640","$722,615",2019,Interior DL
Daniel McCullers,Steelers,"$1,125,000","$1,250,000",2019,Interior DL
P.J. Hall,Raiders,"$1,069,155","$693,831",2019,Interior DL
Danny Shelton,Patriots,"$1,001,875","$1,030,000",2019,Interior DL
Chris Wormley,Ravens,"$960,661","$736,000",2019,Interior DL
B.J. Hill,Giants,"$921,721","$664,345",2019,Interior DL
Derrick Nnadi,Chiefs,"$891,350","$651,500",2019,Interior DL
Trysten Hill,Cowboys,"$886,945","$2,062,780",2019,Interior DL
Montravius Adams,Packers,"$872,194","$686,000",2019,Interior DL
Andrew Billings,Bengals,"$853,961","$720,000",2019,Interior DL
Nazair Jones,Seahawks,"$844,572","$668,000",2019,Interior DL
Justin Jones,Chargers,"$839,535","$626,000",2019,Interior DL
Deadrin Senat,Falcons,"$826,490","$622,000",2019,Interior DL
Jonathan Bullard,Cardinals,"$820,000","$820,000",2019,Interior DL
Jaleel Johnson,Vikings,"$814,590","$645,000",2019,Interior DL
Harrison Phillips,Bills,"$802,760","$609,000",2019,Interior DL
Larry Ogunjobi,Browns,"$776,106","$530,715",2019,Interior DL
Dre'Mont Jones,Broncos,"$761,600","$1,561,400",2019,Interior DL
Jalyn Holmes,Vikings,"$752,849","$570,000",2019,Interior DL
Ryan Glasgow,Bengals,"$749,912","$645,000",2019,Interior DL
Carlos Watkins,Texans,"$749,912","$645,000",2019,Interior DL
Grover Stewart,Colts,"$749,912","$645,000",2019,Interior DL
Rakeem Nunez-Roches,Buccaneers,"$735,000","$895,000",2019,Interior DL
Tyeler Davison,Falcons,"$735,000","$895,000",2019,Interior DL
Nicholas Williams,Bears,"$735,000","$895,000",2019,Interior DL
Zach Allen,Cardinals,"$732,508","$1,589,560",2019,Interior DL
Khalen Saunders,Chiefs,"$723,795","$1,410,180",2019,Interior DL
Sheldon Day,49ers,"$720,000","$720,000",2019,Interior DL
Hassan Ridgeway,Eagles,"$720,000","$720,000",2019,Interior DL
Domata Peko,Ravens,"$700,000","$700,000",2019,Interior DL
Davon Godchaux,Dolphins,"$695,487","$645,000",2019,Interior DL
Tanzel Smart,Rams,"$686,198","$645,000",2019,Interior DL
D.J. Jones,49ers,"$681,967","$645,000",2019,Interior DL
Nathan Shepherd,Jets,"$671,401","$424,471",2019,Interior DL
Greg Gaines,Rams,"$651,653","$1,121,612",2019,Interior DL
R.J. McIntosh,Giants,"$650,367","$570,000",2019,Interior DL
Maurice Hurst,Raiders,"$649,761","$570,000",2019,Interior DL
Adam Butler,Patriots,"$646,668","$645,000",2019,Interior DL
Renell Wren,Bengals,"$645,002","$1,156,949",2019,Interior DL
Treyvon Hester,Commanders,"$645,000","$645,000",2019,Interior DL
Josh Tupou,Bengals,"$645,000","$645,000",2019,Interior DL
Mike Purcell,Broncos,"$645,000","$645,000",2019,Interior DL
Daniel Ross,Cowboys,"$645,000","$645,000",2019,Interior DL
Roy Robertson-Harris,Bears,"$645,000","$645,000",2019,Interior DL
John Jenkins,Dolphins,"$645,000","$805,000",2019,Interior DL
Morgan Fox,Rams,"$645,000","$645,000",2019,Interior DL
Bilal Nichols,Bears,"$644,870","$570,000",2019,Interior DL
Tim Settle,Commanders,"$637,011","$570,000",2019,Interior DL
John Cominsky,Falcons,"$617,098","$983,392",2019,Interior DL
Zach Kerr,Cardinals,"$615,588","$615,588",2019,Interior DL
Folorunso Fatukasi,Jets,"$613,564","$570,000",2019,Interior DL
Sebastian Joseph-Day,Rams,"$608,809","$570,000",2019,Interior DL
Kingsley Keke,Packers,"$573,316","$808,264",2019,Interior DL
Poona Ford,Seahawks,"$572,666","$570,000",2019,Interior DL
Byron Cowart,Patriots,"$570,149","$795,596",2019,Interior DL
Tyler Lancaster,Packers,"$570,000","$570,000",2019,Interior DL
Efe Obada,Panthers,"$570,000","$570,000",2019,Interior DL
Antwaun Woods,Cowboys,"$570,000","$570,000",2019,Interior DL
Avery Moss,Dolphins,"$570,000","$570,000",2019,Interior DL
Armon Watts,Vikings,"$537,274","$664,096",2019,Interior DL
Isaiah Buggs,Steelers,"$537,158","$663,632",2019,Interior DL
Daylon Mack,Ravens,"$521,644","$746,104",2019,Interior DL
Dontavius Russell,Jaguars,"$515,876","$578,504",2019,Interior DL
Cortez Broughton,Chargers,"$514,580","$573,320",2019,Interior DL
Michael Dogbe,Cardinals,"$513,644","$569,576",2019,Interior DL
Jihad Ward,Ravens,"$508,235","$508,235",2019,Interior DL
Billy Winn,Broncos,"$508,000","$473,000",2019,Interior DL
Isaiah Mack,Titans,"$499,166","$507,500",2019,Interior DL
Shy Tuttle,Saints,"$496,666","$500,000",2019,Interior DL
Kyle Phillips,Jets,"$496,666","$500,000",2019,Interior DL
Andrew Brown,Bengals,"$495,000","$495,000",2019,Interior DL
Trevon Coley,Colts,"$493,235","$493,235",2019,Interior DL
